Course Name,Course ID,Credit Count,Prerequisites
EET 254 Microprocessors I,EET 222,4,"STAT 154
MET 426 Logistics and Transportation 3 credits
Fundamentals of logistics and supply chain management: control of
materials, WIP, finished goods, costs of logistics"
Programming Tools,EET 310,4,"STAT 154
MET 427 Quality Management Systems 3 credits
This course is focused on quality assurance systems, management
philosophies, methodology, function and impact of quality systems in
manufacturing operations"
EET 315 Programmable Instrumentation,MATH 180,3,"STAT 154
MET 428 Lean Manufacturing 3 credits
Basics of Lean Manufacturing in industry, with emphasis on application
of concepts"
"and EE 235 OR EET 254
EET 340 Programmable Hardware Technology",EE 234,4,"MET 347, PHYS 212
MET 455 Project and Value Management II 3 credits
This course covers replacement analysis, depreciation, income taxes,
break even & risk analysis and capital budgeting during the life cycle of
an engineering project"
Electronic Shop Practices,EET 341,2,"MET 425
MET 488W Senior Design Project I 2 credits
An examination of manufacturing design and research"
EET 355 Electrical Power Systems,EET 221,4,"ENG 271W, MET 275, MET 425, 10 AET or MET 300/400
level credits
MET 489W Senior Design Project II 2 credits
Completion of the capstone design project"
EET 384 Microprocessors II,PHYS 212,4,"MET 488W, Permission Required
MET 492 Seminar: Manufacturing 1-4 credits
Selected manufacturing topics"
CPT: Co-Operative Experience,EET 398,0,50
Computer Networking I,EET 430,4,"Permission Required
Marketing
MRKT 100 Foundations of Business Concepts 3 credits
Focuses on the basic business functions of Accounting, Finance,
Management, and Marketing in global context"
EET 431 Computer Networking II,EET 384,4,"MRKT 210
MRKT 316 Consumer Behavior 3 credits
Students will learn about consumer decision styles, perceptions, group
influences, family decision-making, lifestyles, shopping behaviors and
domestic and international trends related to marketing strategies"
EET 441 Embedded Systems,EET 430,4,"MRKT 210
MRKT 318 Integrated Marketing Communications 3 credits
Integrated Marketing Communications provide an understanding of
the elements of the marketing communications mix"
EET 452 Operational Amplifier Applications,EET 384,3,"MRKT 210
MRKT 324 Marketing Research & Analysis 3 credits
In this course, students will examine the role of research in decision
making and the basics of scientific research, including the preparation of
research proposals, design of data collection instruments, data analysis,
interpretation, and reporting"
EET 455 Power Electronics,EET 223,3,"MRKT 210, STAT 154 or ECON 207
MRKT 341 Supply Chain Management 3 credits
A study of how supply chain management impacts all processes of the
firm and its many trading partners"
EET 456 Analog Communications,EET 222,4,"MRKT 210
MRKT 398 CPT: Co-Operative Experience 0 credits
Curricular Practical Training: Co-Operative Experience is a zerocredit full-time practical training experience for one summer and
an adjacent fall or spring term"
Industrial Automation I,EET 461,4,Permission of the Chairperson of the department
EET 462 Industrial Automation II,EET 384,4,"MRKT 210
MRKT 415 Retailing Management 3 credits
The study of marketing at the retail level, including the organization,
operations, methods, policies, and problems of retail establishments in
satisfying consumers"
EET 486 Digital Communications,EET 461,3,"MRKT 210
MRKT 416 Digital Marketing 3 credits
This course is an examination of the role of digital technology,
such as the Internet and social media platforms, in contemporary
marketing strategy and its impact on business decision making and
consumer behavior"
EET 487 RF Systems Technology,EET 456,3,"MRKT 210
MRKT 420 Sales Management 3 credits
This course involves studying the role of the general sales manager, the
functions of sales management within overall marketing strategy, and
the development of analytical decision skills necessary to plan, manage,
and control the sales force"
"In-Service 1-4 credits
EET 492 Integrated Circuit Technology",EET 491,4,"MRKT 210
MRKT 424 Advanced Professional Selling 3 credits
Students will apply advanced professional selling concepts to multiple
sales environments"
"Individual Study 1-4 credits
Elementary and Literacy Education
ELE 215 Introduction to Education and Instruction",EET 499,4,"MRKT 210, MRKT 312
MRKT 428 International Marketing 3 credits
This course takes a managerial approach to analyzing marketing decision
making in multinational market situations"
Human Relations in a Multicultural Society,ELE 222W,4,"MRKT 210
MRKT 460 Social Media Marketing 3 credits
This course examines how organizations capitalize on social media and
takes advantage of the consumer-to-consumer interactions in order to
support their marketing efforts"
Philosophy & Practices in the Middle School,ELE 310,3,"MRKT 210
MRKT 480 Seminar 3 credits
Topics covered are specialized topics not covered in other courses and
will be announced"
Introduction to Teaching Multilingual Children,ELE 402,3,"MRKT 210
MRKT 490 Marketing Management 3 credits
This course should be the last marketing class taken, since it involves
comprehensive marketing strategy development, integrating all
dimensions of the marketing offering, and utilizing marketing
information systems for top-level control and decision making"
"Creating Anti-Racist Environments with Field
Experience",ELE 410,4,"MRKT 316, MRKT 317, and MRKT 318"
"Evidence-Based Literacy Instruction in the Early
Grades",ELE 411,4,"MRKT 210, MRKT 312
MRKT 497 Internship 1-9 credits
Individual, supervised experience in a business firm or government
agency"
"Social Studies: Human Diversity, Power, & Opportunity in
Elementary School",ELE 412,4,"MRKT 210
MRKT 498 Internship 3 credits
Individual, supervised experience in a business firm or government
agency"
Understanding the Needs of Individual Students,ELE 413,4,"MRKT 210
MRKT 499 Individual Study 1-4 credits
Individual study of special topics"
"Planning & Assessment for Diverse Learners with Field
Experience",ELE 420,4,"Consent
Mathematics
MATH 092 College Algebra-corequisite 1 credit
This is a corequisite course for Math 112 College Algebra"
"Integrating Critical Literacies to Promote Equity Across the
Elem Curriculum",ELE 421,4,"Three years high school algebra/geometry or MATH 098
MATH 112 College Algebra 4 credits
Concepts of algebra (real numbers, exponents, polynomials, rational
expressions), equations and inequalities, functions and graphs,
polynomial and rational functions, exponential and logarithmic
functions, systems of equations and inequalities, matrices and
determinants, conic sections, sequences and series, probability, and
binomial theorem"
"Mathematics Teaching and Learning for the Diverse
Elementary Classroom",ELE 422,4,"Satisfy Placement Table in this section, or MATH 098 with
grade of P"
"Science Teaching and Learning for the Diverse Elementary
Classroom",ELE 423,4,"Satisfy Placement Table in this section, or MATH 112 with
"
"Integrating Arts & Physical Health Across the Elementary
Curriculum",ELE 430W,4,"Satisfy Math Placement Table in this section, or grade of P in
MATH 098"
"Integrating Inquiry across the Elementary
Curriculum",ELE 431,4,"Satisfy Placement Table in this section, MATH 115 or both
MATH 112 and MATH 113 with "
"Field Experience: Integrating Methods in the Elementary
Classroom",ELE 432,4,MATH 121 with 
Engineering for Elementary Teachers,ELE 436,2,MATH 121 with 
Student Teaching,ELE 440,12,"Satisfy Placement Table in this section, or grade of "
Educational Technology-STEM,ELE 446,2,"MATH 121
MATH 180 Mathematics for Computer Science 4 credits
This course is an introduction to the mathematical concepts needed
in computer science, including sets, logic, representations of numbers,
counting techniques, discrete functions, matrices, trees and graphs, and
algorithm analysis"
"Integrating Science, Technology, Engineering, and Math for
Elem Teachers",ELE 467,2,"MATH 112 or equivalent, with "
Field Experience in STEM,ELE 470,4,"Satisfy Placement Table in this section, or Math 112 with "
Student Teaching Middle School,ELE 494,4,"Satisfy Placement Table in this section, or Grade of P in
MATH 098 or "
Academic Reading and Writing,ENG 100,4,"MATH 201, with "
Foundations of Writing & Rhetoric,ENG 101,4,MATH 202 with 
"Race, Rhetoric, and Representation",ENG 105,4,MATH 122 with 
Introduction to Literature,ENG 110,4,MATH 122 with 
Why Literature Matters,ENG 112W,4,MATH 121 with 
Introduction to Shakespeare,ENG 146,4,MATH 122 with 
Writing Technologies,ENG 201W,4,MATH 223 and MATH 290 with 
ENG 211W Literature and Human Diversity,ENG 101,4,MATH 122 with 
ENG 212W World Literature,ENG 101,4,MATH 290 with 
ENG 213W Literature and Ethics,ENG 101,4,MATH 290 with 
ENG 214 Environmental Humanities,ENG 101,4,MATH 122 with 
Technical Communication,ENG 271W,4,MATH 247 and MATH 290 with grade of 
ENG 272W Business Communication,ENG 101,4,MATH 247 and MATH 280 with a grade of 
Agricultural Communication,ENG 273W,4,At least 60 credits earned
Introduction to Literary Studies,ENG 275W,4,MATH 290 with grade of 
ENG 285 Practical Grammar,ENG 101,2,MATH 223 and MATH 290 with 
Advanced Writing,ENG 301W,4,MATH 223 and MATH 290 with 
Literature & the Environment,ENG 317,4,MATH 417 with 
Animals and Literature,ENG 319,4,MATH 223 and MATH 321 with 
Topics in British Literature,ENG 322,4,MATH 223 and MATH 247 with 
Topics in US Literature,ENG 323,4,"MATH 122, MATH 247
MATH 435 Modern Geometry 4 credits
Geometry of spaces including Euclidean and non-Euclidean and
applications of contemporary geometry"
"Teaching English: Literature, Grades 5-12",ENG 361,4,MATH 247 and MATH 290 with grade of 
"Teaching English: Writing, Grades 5-12",ENG 362,4,MATH 345 with 
Introduction to English Linguistics,ENG 381,4,MATH 345 with 
Introduction to Sociolinguistics,ENG 385,4,MATH 345 with 
Gender in Literature,ENG 402W,4,MATH 223 with 
Selected Authors,ENG 403W,4,MATH 455 / STAT 455 with 
Shakespeare,ENG 407,4,"(MATH 354, STATS 354, MATH 455 or STAT 455) and
MATH 223
www"
ENG 412W Arab American Literature,ENG 275W,4,MATH 122 with C (2
Selected Studies in World Literature,ENG 433W,4,"MATH 122, MATH 247 with "
Native American Literature,ENG 436W,4,MATH 470 and MATH 223 with 
African American Literature,ENG 438W,4,Math 345 and Math 375 with a 
Literary Theory and Criticism,ENG 441,4,MATH 345 with 
Advanced Writing Workshop,ENG 455,4,MATH 290 with 
Adolescent Literature,ENG 463,3,MATH 290 with 
Teaching Literature in the Middle School,ENG 464,3,MATH 290 with 
Usability,ENG 466,4,"Two of the following: MATH 316, MATH 321, MATH 345,
MATH 375 and senior standing (or permission of the instructor)"
Visual Technical Communication,ENG 471,4,"Two of the following: MATH 316, MATH 321, MATH 345,
MATH 375 and senior standing (or permission of the instructor)"
Desktop Publishing,ENG 473,4,ACT Math Subscore of 23 or higher
Research and Writing Technical Reports,ENG 474W,4,"ME 101
Corequisites: ME 103, MATH 121
ME 203 Geometric Dimensioning and Tolerancing in Engineering
Design 2 credits
This course is intended to provide the students with an understanding
of the principles and methodologies of geometric dimensioning and
tolerancing"
"or ENG 272W
ENG 475 Editing Technical Publications",ENG 271W,4,"ME 103, ME 201
ME 212 Statics 3 credits
Resultants of force systems, equilibrium, analysis of forces
acting on structural and machine elements, friction, second
moments, virtual work"
"Technical Documentation, Policies, and
Procedures",ENG 477W,4,"PHYS 221
ME 213 Statics and Dynamics for Electrical Engineers 3 credits
This course consists of two components: 1) Statics Introduction to
resultants of force systems, equilibrium, analysis of forces acting
on structural and machine elements, friction, second moments"
Technical and Scientific Literature,ENG 478,4,"ME 212
ME 223 Mechanics of Materials 3 credits
Load deformation, stress, strain, stress-strain relationship, buckling,
energy concepts, stress analysis of structural and machine elements"
Proposals,ENG 480,4,"ME 212
ME 240 Building Systems Documentation 1 credit
Communicating technical information about building systems including
mechanical, electrical, and plumbing (MEP) systems"
History of the English Language,ENG 481,4,ME 103 or instructor permission or instructor permission
"Teaching Listening and Speaking to English
Learners",ENG 482,4,"PHYS 221
ME 281 Computing Techniques for Mechanical Engineering
Analysis 2 credits
This course is an introduction to numerical analysis"
Writing About Health and Medicine,ENG 483,4,"MATH 122, ME 201
ME 291 Engineering Analysis 3 credits
Probability and statistics"
"Teaching Grammar and Vocabulary to English
Learners",ENG 484,4,"MATH 122, PHYS 221"
"Theories of Second Language Teaching and
Learning",ENG 486,4,PHYS 221 with 
"Policies, Programs, and Assessment for K-12 English
Learners",ENG 489,4,"ME 223
ME 321 Fluid Mechanics 3 credits
Introduction to fluid properties, fluid statics, buoyancy, fluid kinematics,
Bernoulli"
"Teaching Language & Language Learners in the Inclusive
Elementary Classroom",ENG 491,4,"MATH 223, ME 214
ME 324 Heat Transfer 3 credits
Steady and unsteady conduction"
Senior Seminar in English Studies,ENG 496,4,"ME 241, ME 321
ME 329 Applied Thermodynamics 3 credits
Energy analysis and design of thermodynamic systems including power
and refrigeration cycles"
Perspectives in Environmental Science,ENVR 101,4,"CHEM 191, ME 241
ME 333 Manufacturing Processes 3 credits
Introduction to manufacturing, tribology, casting, bulk deformation,
sheet metal forming, material removal, joining, polymers, powder
metals, ceramics, automation, integrated systems"
Environmental Regulations,ENVR 440,3,"ME 206, ME 223
ME 336 Mechanical Engineering Experimentation I 2 credits
Experiments in Mechanical Engineering, load-deformation, load-failure,
fatigue, impact, hardness"
Environmental Pollution & Control,ENVR 450,3,"ME 306
ME 341 Linear Systems 3 credits
Analysis of linear systems in the time and frequency domains"
Analysis of Pollutants,ENVR 460,4,"ME 201, ME 214, PHYS 222, EE 230, PHYS 232, EE 240, ME
281, MATH 321
ME 344 Instrumentation 3 credits
Probability and statistics and its application to mechanical
measurements"
Environmental Assessment,ENVR 470,3,"ME 203, ME 214, EE 230, EE 240
ME 398 CPT: Co-Operative Experience 0 credits
Curricular Practical Training: Co-Operative Experience is a zerocredit full-time practical training experience for one summer and
an adjacent fall or spring term"
American Racial Minorities,ETHN 100,3,ME 201
Introduction to Multicultural & Ethnic Studies,ETHN 101,3,"ME 223
ME 416 Thermal/Fluid Systems Design 3 credits
The application of the principles of thermodynamics, fluid mechanics,
and heat transfer to the design and analysis of selected energy systems of
current interest, such as nuclear, solar, geothermal, and also conventional
systems"
Multi-Cultural/Ethnic Experience,ETHN 150,3,"ME 324, ME 329
ME 417 Design of Machine Elements 3 credits
Application of principles of mechanics to the design of various machine
elements such as gears, bearings, springs, rivets, welding"
Interracial/Interethnic Dating/Marriage,ETHN 200,3,"ME 214, ME 223
ME 418 Mechanical Systems Design 3 credits
The application of mechanics to the design and analysis of motion
and force transmitting systems"
Perspectives on African Americans,ETHN 201W,3,"ME 417
ME 420 Computer Aided Engineering 3 credits
This course provides the students with sound understanding of both
solid modeling techniques and finite element analysis"
Perspectives on Asian Americans,ETHN 203W,3,"ME 203, ME 324, ME 417
ME 422 Mechanics of Composite Materials 3 credits
Introduce anisotropic mechanics theories, engineering application of
various composite materials, mechanical behaviors and fabrication
of composites, experimental and theoretical approach for composite
designs, contemporary issues such as nano/microcomposites"
Perspectives on Latinos/Hispanics,ETHN 204W,3,"ME 223
318 2024-2025 Undergraduate Catalog www"
Environmental Racism,ETHN 310,3,"ME 324
ME 426 Aerosol Theory and Technology 3 credits
Introduction to the theory of aerosols and particulate systems"
Immigration and Ethnicity,ETHN 330,3,"ME 324, ME 329, ME 333, ME 336, ME 341, ME 417
ME 429 Energy Conversion 3 credits
Methods of energy conversion"
"Perspectives on Multiracial Identities in the United
States",ETHN 380,3,"ME 324, ME 329
ME 431 Building Information Modeling (BIM) for HVAC&R
Engineers 1 credit
Exploration of the principles and application of Building Information
Modeling (BIM) in the HVAC&R industry"
Cultural Pluralism,ETHN 400,3,"Instructor Permission
ME 432 HVAC&R Systems and Applications 1 credit
This course will focus on the typical HVAC&R systems and components
in use today"
Applied Cultural Research,ETHN 401,3,"ME 321, ME 324, ME 329 or instructor permission"
"or
ETHN 150 or consent
ETHN 402W Ethnic Research Methods/Skills",ETHN 101,3,"ME 291, ME 324, ME 329
ME 438W Design Project II 3 credits
The second course of a two-semester sequence providing a complete
design experience and introduction to professional practice"
"or ETHN 101 or ETHN 150, or Consent
ETHN 405 Perspectives on New Immigrants",ETHN 100,3,"ME 428
ME 439 Heating Ventilating and Air Conditioning Design 3 credits
Refrigeration cycles and equipment, refrigerant properties, heating and
cooling loads, psychometric analysis of air conditioning"
Foundations of Oppression,ETHN 410,3,"ME 324, ME 329
ME 440 Introduction to Computational Fluid Dynamics 3 credits
This course introduces the numerical methods used for solving partial
differential and integral equations of the type commonly occurring in
fluid mechanics and heat transfer"
"or ATHN 400
ETHN 420 African American Studies",ETHN 100,3,"ME 417
ME 450 Finite Element Method 3 credits
Energy and residual methods, 2D and 3D problems in stress analysis"
"or ETHN 400 or consent
ETHN 440 Asian American Studies",ETHN 110,3,"ME 223 and ME 324 or instructor consent
ME 463 Automatic Controls 3 credits
Analysis of control systems using the methods of Evans, Nyquist and
Bode"
Latino/Hispanic Studies,ETHN 450,3,"ME 341
ME 464 Mechatronics 3 credits
Synergistic combination of mechanical engineering, electronics,
controls and programming in the design of mechatronic systems"
Urban Minority Problems,ETHN 460,3,"ME 417, ME 463
www"
Women of Color,ETHN 470,3,"ME 463
ME 466W Mechanical Engineering Experimentation III 2 credits
Experiments in vibrations: Motion measurement, force measurement,
free vibration, frequency response, impact response, noise,
signal processing"
African American Civil Rights Movement,ETHN 482,3,"ME 344, ME 463
ME 483 Aircraft Stability and Control 3 credits
Principles of generation of lift and drag for infinite wing and finite wing
are discussed"
Racial and Ethnic Politics,ETHN 486,3,"Senior standing in Mechanical Engineering
Corequisites: ME 428
ME 494 Global Experience in Engineering and Technology 1 credit
This class provides students pursuing a minor in "
Selected Topics,ETHN 495,3,"Limited to Cadets enrolled in Army ROTC
MSL 299 Individual Study 1-8 credits
Department chair approval required"
Introduction to Experiential Education,EXED 202,3,"MSL 301
MSL 366 Advanced Camp 3 credits
This course is a rigorous and demanding 35-day internship held at an
off-campus Army installation and is designed to develop and evaluate
leadership ability and determine preparedness to become commissioned
Army officers"
"Workshop 1-3 credits
EXED 499 Individual Study 1-3 credits
Family Consumer Science
FCS 100 Personal & Family Living",EXED 490,3,Limited to Cadets contracted with the US Army
Introduction to Family Consumer Science,FCS 101,3,"MSL 301, MSL 302
MSL 402 Company Grade Leadership 3 credits
The culmination of a four-year sequential, progressive, challenging
developmental leadership experience"
Clothing and People,FCS 120,3,"MSL 301, MSL 302
MSL 403 Application of Physical Conditioning 1 credit
Students plan, organize and lead individual and team oriented physical
conditioning activities"
Introduction to Nutrition,FCS 140,3,"MSL 210
www"
Cooking and Culture,FCS 150,3,"MUS 131
MUSC 115 Musicianship 1 for BA/BSME 4 credits
Part 1 of a three-course sequence focusing on music theory, sightsinging, ear training, and piano skills"
Introduction to Child Life Specialist,FCS 202,3,"MUSC 119
MUSC 220 Piano Proficiency 0 credits
This assessment will determine basic proficiency in playing functional
and classical piano"
End of Life Care,FCS 203,3,"ENG 101, MUSC 131
MUSC 302W Music History 2 3 credits
This writing-intensive course focuses on the repertory of Western
Music from 1800 to the present"
Nutrition for Healthcare Professionals,FCS 242,3,"ENG 101, MUS 131
MUSC 303 Music Styles for the Music Educator I 3 credits
Musical styles of western culture prior to 1800"
"or CHEM 111
FCS 260 Child Health, Safety, and Nutrition",CHEM 106,3,"MUS 231, MUS 232, ENG 101
MUSC 304 Music Styles after 1800 for the Music Educator 3 credits
Musical styles of western culture after 1800"
Family Housing,FCS 270,3,"MUS 231, MUS 232, ENG 101
MUSC 305 Instrumental Pedagogy 3 credits
This course is part of the instrumental music education degree
program"
Consumers in the Economy,FCS 275,3,"ENG 101
MUSC 315 Instrumental Methods 1 3 credits
Part 1 of a three-course sequence in instrumental music
education methods"
Food Systems and Policy,FCS 280,3,"Consent
MUSC 414 Arranging (instrumentation/orchestration) 3 credits
Writing techniques for instrumental groups of various types"
Career and Technical Education,FCS 284,3,"MUSC 111, MUSC 112
MUSC 451 Vocal Literature 2 credits
A survey of solo and small ensemble vocal literature through classical art
song, musical theater and contemporary styles"
Lifespan Development,FCS 301,3,"Permission of Instructor
MUSP 152 Introduction to Vocal Studies 1 credit
Introducing fundamental healthy vocal technique, practice techniques,
performance practices, collaborative musicianship, stage deportment,
basic solfege, and elements of critical listening"
Working With Families,FCS 303,3,"Permission of instructor
MUSP 156 Private Harpsichord 1 1, 3 credits
Audition required"
Clothing Construction and Textiles,FCS 331,3,"Permission of instructor
MUSP 157 Private Organ 1 1, 3 credits
Audition required"
Food Science,FCS 340,4,"Permission of instructor
MUSP 161 Private Trumpet 1 1, 3 credits
Audition required"
FCS 360 Romantic Relationships,FCS 150,3,"Permission of instructor
MUSP 162 Private Horn 1 1, 3 credits
Audition required"
Foodservice Management Principles,FCS 375,3,"Permission of instructor
MUSP 163 Private Trombone 1 1, 3 credits
Audition required"
Quantity Food Production,FCS 376,4,"Permission of instructor
MUSP 164 Private Euphonium 1 1, 3 credits
Audition required"
FCS 380 Nutrition Focused Assessment,FCS 375,3,"Permission of instructor
www"
FCS 400 Culturally Diverse Family Systems,FCS 242,3,"Permission of instructor
MUSP 171 Private Violin 1 1, 3 credits
Audition required"
Family Life Development,FCS 401,3,"Permission of Instructor
MUSP 172 Private Viola 1 1, 3 credits
Audition required"
Play and Child Development,FCS 402,3,"Permission of Instructor
MUSP 173 Private Cello 1 1, 3 credits
Audition required"
Parents and Peers and Adolescent Development,FCS 403,3,"Permission of Instructor
MUSP 174 Private Double Bass 1 1, 3 credits
Audition required"
Family Policy and Ethics,FCS 414W,3,"Permission of Instructor
MUSP 176 Private Classical Guitar 1 1, 3 credits
Audition required"
Nutrition for Physical Activity and Sport,FCS 439,3,"Permission of Instructor
MUSP 177 Group Instruction in Guitar 3 credits
Learn to play acoustic guitar"
"or FCS 242
FCS 440 Advanced Human Nutrition",FCS 140,3,"Permission of Instructor
MUSP 179 Private Electric Bass 1 1, 3 credits
Audition required"
FCS 460 Foundations of Medical Nutrition Therapy,FCS 242,3,"Permission of Instructor
MUSP 181 Private Flute 1 1, 3 credits
Audition required"
FCS 462 Advanced Medical Nutrition Therapy,FCS 440,3,"Permission of instructor
MUSP 182 Private Oboe 1 1, 3 credits
Audition required"
"or FCS 560
FCS 463 Nutrient Metabolism and Genetics",FCS 460,2,"Permission of instructor
MUSP 183 Private Clarinet 1 1, 3 credits
Audition required"
Consumer Protection,FCS 473,3,"Permission of instructor
MUSP 184 Private Saxophone 1 1, 3 credits
Audition required"
Community Resources and Family Support,FCS 474,3,"Permission of instructor
MUSP 185 Private Bassoon 1 1, 3 credits
Audition required"
Nutrition Across the Lifecycle,FCS 476,3,"Permission of instructor
MUSP 186 Private Percussion 1 1, 3 credits
Audition required"
FCS 478 Family Finance,FCS 242,3,"Permission of instructor
MUSP 190 Private Secondary Instrument 1 credit
Private lessons on a secondary instrument"
Applied Food Science,FCS 480W,3,"Permission of Instructor
MUSP 201 Concert Choir 0-1 credits
Audition required"
Family Life Education,FCS 482,3,"Permission of Instructor
MUSP 256 Private Harpsichord 2 1, 3 credits
Audition required"
"Adult and Technical Education in Family Consumer
Science",FCS 483,3,"Permission of instructor
326 2024-2025 Undergraduate Catalog www"
Parenting Education,FCS 488,3,"Permission of Instructor
MUSP 261 Private Trumpet 2 1, 3 credits
Audition required"
Film Appreciation,FILM 110,4,"Permission of Instructor
MUSP 263 Private Trombone 2 1, 3 credits
Audition required"
Introduction to Film,FILM 114,4,"Permission of Instructor
MUSP 264 Private Euphonium 2 1, 3 credits
Audition required"
Film Genres,FILM 210W,4,"Permission of Instructor
MUSP 265 Private Tuba 2 1, 3 credits
Audition required"
Topics in Film Studies,FILM 214,4,"Permission of Instructor
MUSP 271 Private Violin 2 1, 3 credits
Audition required"
Writing About Film,FILM 216W,4,"Permission of instructor
MUSP 273 Private Cello 2 1, 3 credits
Audition required"
Introduction to Film Production,FILM 217,4,"Permission of instructor
MUSP 274 Private Double Bass 2 1, 3 credits
Audition required"
Independent Cinema,FILM 275,4,"Permission of instructor
MUSP 276 Private Classical Guitar 2 1, 3 credits
Audition required"
Advanced Film Production,FILM 317,4,"Permission of Instructor
MUSP 278 Private Electric Guitar 2 1, 3 credits
Audition required"
"or permission of instructor
FILM 334W International Cinema",FILM 217,4,"Permission of instructor
MUSP 279 Private Electric Bass 2 1, 3 credits
Audition required"
Film Performance Analysis,FILM 342,4,"Permission of Instructor
MUSP 281 Private Flute 2 1, 3 credits
Audition required"
Film History I (1895-1960),FILM 402,4,"Permission of instructor
MUSP 283 Private Clarinet 2 1, 3 credits
Audition required"
Film History II (1961-Present),FILM 412,4,"Permission of instructor
MUSP 284 Private Saxophone 2 1, 3 credits
Audition required"
Film Theory and Criticism,FILM 416,4,"Permission of instructor
MUSP 285 Private Bassoon 2 1, 3 credits
Audition required"
"or FILM 412
FILM 472 Film Authorship",FILM 402,4,"Permission of instructor
MUSP 286 Private Percussion 2 1, 3 credits
Audition required"
Personal Financial Management,FINA 100,3,"Permission of instructor
MUSP 291 Private Instrument 2 1, 3 credits
Audition required"
Business Finance,FINA 362,3,"Permission of instructor
MUSP 299 Sophomore Recital/Project 0 credits
Audition required"
FINA 372 Special Topics in Finance,ACCT 200,3,"Permission of instructor
MUSP 301 Concert Choir 0-1 credits
Audition required"
Business Analytics,FINA 375,3,"MUS 299
MUSP 302 University Chorale 0-1 credits
No audition required"
FINA 398 CPT: Co-Operative Experience,STAT 154,0,MUS 299
Financial Analysis Using Excel,FINA 400,3,"Permission of instructor
MUSP 317 Small Vocal Ensemble and Solo Accompanying 1 credit
Working collaboratively with smaller vocal ensembles and vocal soloists
at the keyboard in different styles and genres"
FINA 458 Estate Planning,FINA 362,3,"Permission of instructor
MUSP 321 Wind Ensemble 0-1 credits
Audition required"
"or FINA 362
FINA 459 Personal Financial Planning",FINA 100,3,"Permission of Instructor
MUSP 355 Private Piano 3 1, 3 credits
Audition required"
Investments,FINA 460,3,Permission of Instructor required
FINA 461 Advanced Corporate Finance,FINA 362,3,Permission of Instructor required
FINA 462 Strategic Financial Management,FINA 362,3,Permission of Instructor required
FINA 463 Equity Valuation,FINA 362,3,"Permission of Instructor
MUSP 362 Private Horn 3 1, 3 credits
Audition required"
"and FINA 460
FINA 464 Financial Institutions and Markets",FINA 362,3,"Permission of Instructor
MUSP 363 Private Trombone 3 1, 3 credits
Audition required"
FINA 466 Retirement Planning,FINA 362,3,"Permission of Instructor
MUSP 364 Private Euphonium 3 1, 3 credits
Audition required"
"or FINA 362
FINA 467 Insurance and Risk Management",FINA 100,3,"Permission of Instructor
MUSP 365 Private Tuba 3 1, 3 credits
Audition required"
Personal Insurance,FINA 470,3,"Permission of Instructor
MUSP 371 Private Violin 3 1, 3 credits
Audition required"
Business Analytics II,FINA 475,3,"Permission of instructor
MUSP 372 Private Viola 3 1, 3 credits
Audition required"
FINA 477 Real Estate,FINA 375,3,"Permission of instructor
MUSP 373 Private Cello 3 1, 3 credits
Audition required"
"or FINA 362
FINA 480 Options and Futures",FINA 100,3,"Permission of instructor
MUSP 374 Private Double Bass 3 1, 3 credits
Audition required"
FINA 482 Risk Management for Financial Institutions,FINA 362,3,"Permission of instructor
MUSP 376 Private Classical Guitar 3 1, 3 credits
Audition required"
FINA 490 Debt Markets,FINA 362,3,"Permission of instructor
MUSP 378 Private Electric Guitar 3 1, 3 credits
Audition required"
Maverick Fund,FINA 493,3,"Permission of instructor
MUSP 379 Private Electric Bass 3 1, 3 credits
Audition required"
Internship,FINA 498,3,"Permission of instructor
MUSP 381 Private Flute 3 1, 3 credits
Audition required"
"Individual Study 1-3 credits
Prerequisites: Permission Required
First Year Experience
FYEX 100 First Year Seminar",FINA 499,1,"Upper-Level Jury, and consent, permission of instructor"
Elementary French I,FREN 101,5,Permission of Instructor
Elementary French II,FREN 102,5,Permission of Instructor
"or equivalent
FREN 201 Intermediate French I",FREN 101,4,Permission of Instructor
Intermediate French II,FREN 202,4,Permission of Instructor
Third Year Vocabulary Review,FREN 301,3,Permission of Instructor
Third Year Grammar Review,FREN 304,3,Permission of Instructor required
Introduction to French Literature,FREN 350,3,Permission of Instructor
Introduction to Gender,GWS 110,4,Permission of Instructor
Introduction to Gender,GWS 110W,4,"Permission of instructor
MUSP 421 Wind Ensemble 0-1 credits
Audition required"
Violence and Gender,GWS 120,4,"Permission of instructor
MUSP 422 Symphonic Band 0-1 credits
No audition required"
Violence and Gender,GWS 120W,4,"Permission of instructor
MUSP 425 Jazz Mavericks 1 credit
Audition required"
Sex and Gender Worldwide,GWS 220,4,"Permission of instructor
MUSP 426 Contemporary Instrumental Ensemble 0-1 credits
Audition required"
Sex and Gender Worldwide,GWS 220W,4,"Permission of instructor
MUSP 433 Percussion Ensemble 0-1 credits
Audition required"
"Gender, Law, & Justice",GWS 222,4,"Permission of instructor
MUSP 435 Theatre Orchestra 0-1 credits
Audition required"
Queer America,GWS 225,4,"Permission of instructor
MUSP 439 Instrumental Ensemble 0-1 credits
Audition required"
Queer America,GWS 225W,4,"Permission of instructor
MUSP 451 Private Voice 4 1, 3 credits
Audition required"
"Gender, Race, and Popular Culture",GWS 230,4,"Permission of instructor
MUSP 455 Private Piano 4 1, 3 credits
Audition required"
